"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"1",168.181818181818,-168.181818181818,731.818181818182,-731.818181818182,20900,19100,10
"2",-123.636363636364,123.636363636364,-476.363636363636,476.363636363636,19400,20600,10
"3",100,-100,0,0,20100,19900,10
"4",381.717171717172,-381.717171717172,1418.28282828283,-1418.28282828283,21800,18200,10
"5",227.272727272727,-227.272727272727,72.7272727272727,-72.7272727272727,20300,19700,10
"6",100,-100,200,-200,20300,19700,10
"7",-100,100,0,0,19900,20100,10
"8",-138.484848484848,138.484848484848,-61.5151515151515,61.5151515151515,19800,20200,10
"9",-178.181818181818,178.181818181818,-1621.81818181818,1621.81818181818,18200,21800,10
"10",-100,100,-200,200,19700,20300,10
"11",-390.909090909091,390.909090909091,-509.090909090909,509.090909090909,19100,20900,10
"12",454.545454545455,-454.545454545455,445.454545454545,-445.454545454545,20900,19100,10
"13",127.272727272727,-127.272727272727,172.727272727273,-172.727272727273,20300,19700,10
"14",-384.242424242424,384.242424242424,-215.757575757576,215.757575757576,19400,20600,10
"15",-100,100,-200,200,19700,20300,10
"16",100,-100,0,0,20100,19900,10
"17",-145.454545454545,145.454545454545,-754.545454545455,754.545454545455,19100,20900,10
"18",-137.575757575758,137.575757575758,-62.4242424242424,62.4242424242424,19800,20200,10
"19",100,-100,0,0,20100,19900,10
"20",100,-100,800,-800,20900,19100,10
"21",100,-100,0,0,20100,19900,10
"22",-100,100,-200,200,19700,20300,10
"23",-146.161616161616,146.161616161616,-453.838383838384,453.838383838384,19400,20600,10
"24",100,-100,0,0,20100,19900,10
"25",1.77635683940025e-15,-5.32907051820075e-15,0,0,20000,20000,10
"26",227.272727272727,-227.272727272727,72.7272727272727,-72.7272727272727,20300,19700,10
"27",445.454545454545,-445.454545454545,454.545454545455,-454.545454545455,20900,19100,10
"28",100,-100,0,0,20100,19900,10
"29",100,-100,200,-200,20300,19700,10
"30",-472.727272727273,472.727272727273,172.727272727273,-172.727272727273,19700,20300,10
